Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (27748 already done, 22252 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (7748 done, 2252 remaining) ---
[27749/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[27817/50000] 2026-06-28 11:56:44 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[27818/50000] 2026-06-28 11:56:44 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[27819/50000] 2026-06-28 11:56:45 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[27820/50000] 2026-06-28 11:56:46 | R3 | railroadcar/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[27821/50000] 2026-06-28 11:56:47 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/0_orig → NON-CLONE
[27822/50000] 2026-06-28 11:56:47 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/1_artifice → NON-CLONE
[27823/50000] 2026-06-28 11:56:48 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[27824/50000] 2026-06-28 11:56:49 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[27825/50000] 2026-06-28 11:56:50 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[27826/50000] 2026-06-28 11:56:50 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[27827/50000] 2026-06-28 11:56:51 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[27828/50000] 2026-06-28 11:56:52 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[27829/50000] 2026-06-28 11:56:52 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[27830/50000] 2026-06-28 11:56:53 | R3 | railroadcar/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[27831/50000] 2026-06-28 11:56:54 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/0_orig → NON-CLONE
[27832/50000] 2026-06-28 11:56:54 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/1_artifice → NON-CLONE
[27833/50000] 2026-06-28 11:56:55 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[27834/50000] 2026-06-28 11:56:56 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[27835/50000] 2026-06-28 11:56:56 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[27836/50000] 2026-06-28 11:56:57 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[27837/50000] 2026-06-28 11:56:58 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[27838/50000] 2026-06-28 11:56:58 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[27839/50000] 2026-06-28 11:56:59 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[27840/50000] 2026-06-28 11:57:00 | R3 | railroadcar/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[27841/50000] 2026-06-28 11:57:00 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/0_orig → NON-CLONE
[27842/50000] 2026-06-28 11:57:01 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[27843/50000] 2026-06-28 11:57:02 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[27844/50000] 2026-06-28 11:57:03 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[27845/50000] 2026-06-28 11:57:03 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[27846/50000] 2026-06-28 11:57:04 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[27847/50000] 2026-06-28 11:57:05 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[27848/50000] 2026-06-28 11:57:06 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[27849/50000] 2026-06-28 11:57:06 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[27850/50000] 2026-06-28 11:57:07 | R3 | railroadcar/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[27851/50000] 2026-06-28 11:57:08 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[27852/50000] 2026-06-28 11:57:08 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[27853/50000] 2026-06-28 11:57:09 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[27854/50000] 2026-06-28 11:57:10 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[27855/50000] 2026-06-28 11:57:10 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[27856/50000] 2026-06-28 11:57:11 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[27857/50000] 2026-06-28 11:57:12 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[27858/50000] 2026-06-28 11:57:12 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[27859/50000] 2026-06-28 11:57:13 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[27860/50000] 2026-06-28 11:57:14 | R3 | railroadcar/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[27861/50000] 2026-06-28 11:57:15 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/0_orig → NON-CLONE
[27862/50000] 2026-06-28 11:57:15 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/1_artifice → NON-CLONE
[27863/50000] 2026-06-28 11:57:16 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[27864/50000] 2026-06-28 11:57:17 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[27865/50000] 2026-06-28 11:57:17 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[27866/50000] 2026-06-28 11:57:18 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[27867/50000] 2026-06-28 11:57:18 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[27868/50000] 2026-06-28 11:57:19 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[27869/50000] 2026-06-28 11:57:20 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[27870/50000] 2026-06-28 11:57:20 | R3 | railroadcar/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[27871/50000] 2026-06-28 11:57:21 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/0_orig → CLONE
[27872/50000] 2026-06-28 11:57:21 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/1_artifice → CLONE
[27873/50000] 2026-06-28 11:57:22 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → CLONE
[27874/50000] 2026-06-28 11:57:23 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_procyon → CLONE
[27875/50000] 2026-06-28 11:57:24 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → CLONE
[27876/50000] 2026-06-28 11:57:24 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → CLONE
[27877/50000] 2026-06-28 11:57:25 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → CLONE
[27878/50000] 2026-06-28 11:57:26 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → CLONE
[27879/50000] 2026-06-28 11:57:27 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → CLONE
[27880/50000] 2026-06-28 11:57:28 | R3 | railroadcar/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → CLONE
[27881/50000] 2026-06-28 11:57:29 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[27882/50000] 2026-06-28 11:57:29 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[27883/50000] 2026-06-28 11:57:30 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[27884/50000] 2026-06-28 11:57:31 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[27885/50000] 2026-06-28 11:57:31 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[27886/50000] 2026-06-28 11:57:32 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[27887/50000] 2026-06-28 11:57:33 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[27888/50000] 2026-06-28 11:57:33 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[27889/50000] 2026-06-28 11:57:34 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[27890/50000] 2026-06-28 11:57:35 | R3 | railroadcar/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[27891/50000] 2026-06-28 11:57:35 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/0_orig → NON-CLONE
[27892/50000] 2026-06-28 11:57:36 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/1_artifice → NON-CLONE
[27893/50000] 2026-06-28 11:57:37 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[27894/50000] 2026-06-28 11:57:37 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[27895/50000] 2026-06-28 11:57:38 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[27896/50000] 2026-06-28 11:57:39 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[27897/50000] 2026-06-28 11:57:39 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[27898/50000] 2026-06-28 11:57:40 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[27899/50000] 2026-06-28 11:57:41 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[27900/50000] 2026-06-28 11:57:42 | R3 | railroadcar/test_1_artifice_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[27901/50000] 2026-06-28 11:57:42 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[27902/50000] 2026-06-28 11:57:43 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[27903/50000] 2026-06-28 11:57:44 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[27904/50000] 2026-06-28 11:57:44 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[27905/50000] 2026-06-28 11:57:45 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[27906/50000] 2026-06-28 11:57:46 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[27907/50000] 2026-06-28 11:57:46 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[27908/50000] 2026-06-28 11:57:47 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[27909/50000] 2026-06-28 11:57:48 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[27910/50000] 2026-06-28 11:57:48 | R3 | railroadcar/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[27911/50000] 2026-06-28 11:57:49 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[27912/50000] 2026-06-28 11:57:50 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[27913/50000] 2026-06-28 11:57:50 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[27914/50000] 2026-06-28 11:57:51 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[27915/50000] 2026-06-28 11:57:52 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[27916/50000] 2026-06-28 11:57:52 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[27917/50000] 2026-06-28 11:57:53 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[27918/50000] 2026-06-28 11:57:54 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[27919/50000] 2026-06-28 11:57:55 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[27920/50000] 2026-06-28 11:57:56 | R3 | railroadcar/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[27921/50000] 2026-06-28 11:57:56 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/0_orig → NON-CLONE
[27922/50000] 2026-06-28 11:57:57 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[27923/50000] 2026-06-28 11:57:57 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[27924/50000] 2026-06-28 11:57:58 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[27925/50000] 2026-06-28 11:57:59 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[27926/50000] 2026-06-28 11:57:59 | R3 | railroadcar/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
