Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (10000 already done, 40000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (16384) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (0 done, 10000 remaining) ---
[10001/50000] 2026-06-26 22:03:09 | R2 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[10033/50000] 2026-06-26 22:42:27 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[10034/50000] 2026-06-26 22:43:27 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[10035/50000] 2026-06-26 22:44:53 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[10036/50000] 2026-06-26 22:46:22 | R2 | InfixConverter/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[10037/50000] 2026-06-26 22:48:11 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[10038/50000] 2026-06-26 22:48:58 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[10039/50000] 2026-06-26 22:50:59 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[10040/50000] 2026-06-26 22:52:07 | R2 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[10041/50000] 2026-06-26 22:53:39 | R2 | InfixConverter/0_orig vs hanoi/0_orig → NON-CLONE
[10042/50000] 2026-06-26 22:55:45 | R2 | InfixConverter/0_orig vs hanoi/1_artifice → NON-CLONE
[10043/50000] 2026-06-26 22:57:43 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[10044/50000] 2026-06-26 22:59:10 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[10045/50000] 2026-06-26 23:01:14 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[10046/50000] 2026-06-26 23:02:57 | R2 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[10047/50000] 2026-06-26 23:04:56 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[10048/50000] 2026-06-26 23:05:52 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[10049/50000] 2026-06-26 23:07:32 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[10050/50000] 2026-06-26 23:09:25 | R2 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[10051/50000] 2026-06-26 23:10:11 | R2 | InfixConverter/0_orig vs kaprekar/0_orig → NON-CLONE
[10052/50000] 2026-06-26 23:11:57 | R2 | InfixConverter/0_orig vs kaprekar/1_artifice → NON-CLONE
[10053/50000] 2026-06-26 23:13:17 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[10054/50000] 2026-06-26 23:14:52 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[10055/50000] 2026-06-26 23:16:16 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[10056/50000] 2026-06-26 23:17:42 | R2 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[10057/50000] 2026-06-26 23:19:02 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[10058/50000] 2026-06-26 23:20:00 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[10059/50000] 2026-06-26 23:21:39 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[10060/50000] 2026-06-26 23:23:06 | R2 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[10061/50000] 2026-06-26 23:23:34 | R2 | InfixConverter/0_orig vs queens/0_orig → NON-CLONE
[10062/50000] 2026-06-26 23:24:41 | R2 | InfixConverter/0_orig vs queens/1_artifice → NON-CLONE
[10063/50000] 2026-06-26 23:25:21 | R2 | InfixConverter/0_orig vs queens/test_0_orig_no_krakatau → NON-CLONE
[10064/50000] 2026-06-26 23:26:00 | R2 | InfixConverter/0_orig vs queens/test_0_orig_no_procyon → NON-CLONE
[10065/50000] 2026-06-26 23:26:33 | R2 | InfixConverter/0_orig vs queens/test_0_orig_pg_krakatau → NON-CLONE
[10066/50000] 2026-06-26 23:27:07 | R2 | InfixConverter/0_orig vs queens/test_0_orig_pg_procyon → NON-CLONE
[10067/50000] 2026-06-26 23:27:42 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_no_krakatau → NON-CLONE
[10068/50000] 2026-06-26 23:28:44 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_no_procyon → NON-CLONE
[10069/50000] 2026-06-26 23:29:09 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[10070/50000] 2026-06-26 23:29:51 | R2 | InfixConverter/0_orig vs queens/test_1_artifice_pg_procyon → NON-CLONE
[10071/50000] 2026-06-26 23:30:28 | R2 | InfixConverter/0_orig vs railroadcar/0_orig → NON-CLONE
[10072/50000] 2026-06-26 23:31:50 | R2 | InfixConverter/0_orig vs railroadcar/1_artifice → NON-CLONE
[10073/50000] 2026-06-26 23:32:23 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[10074/50000] 2026-06-26 23:32:54 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[10075/50000] 2026-06-26 23:34:04 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[10076/50000] 2026-06-26 23:34:33 | R2 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[10077/50000] 2026-06-26 23:35:31 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[10078/50000] 2026-06-26 23:36:13 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[10079/50000] 2026-06-26 23:37:22 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[10080/50000] 2026-06-26 23:37:52 | R2 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[10081/50000] 2026-06-26 23:39:28 | R2 | InfixConverter/0_orig vs slinkedlist/0_orig → NON-CLONE
[10082/50000] 2026-06-26 23:40:33 | R2 | InfixConverter/0_orig vs slinkedlist/1_artifice → NON-CLONE
[10083/50000] 2026-06-26 23:41:14 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[10084/50000] 2026-06-26 23:41:46 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[10085/50000] 2026-06-26 23:42:46 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[10086/50000] 2026-06-26 23:43:11 | R2 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[10087/50000] 2026-06-26 23:44:25 | R2 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[10088/50000] 2026-06-26 23:45:56 | R2 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[10089/50000] 2026-06-26 23:46:22 | R2 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[10090/50000] 2026-06-26 23:46:55 | R2 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[10091/50000] 2026-06-26 23:48:02 | R2 | InfixConverter/0_orig vs square/0_orig → NON-CLONE
[10092/50000] 2026-06-26 23:49:43 | R2 | InfixConverter/0_orig vs square/1_artifice → NON-CLONE
[10093/50000] 2026-06-26 23:51:18 | R2 | InfixConverter/0_orig vs square/test_0_orig_no_krakatau → NON-CLONE
[10094/50000] 2026-06-26 23:52:22 | R2 | InfixConverter/0_orig vs square/test_0_orig_no_procyon → NON-CLONE
[10095/50000] 2026-06-26 23:54:21 | R2 | InfixConverter/0_orig vs square/test_0_orig_pg_krakatau → NON-CLONE
[10096/50000] 2026-06-26 23:55:09 | R2 | InfixConverter/0_orig vs square/test_0_orig_pg_procyon → NON-CLONE
[10097/50000] 2026-06-26 23:56:32 | R2 | InfixConverter/0_orig vs square/test_1_artifice_no_krakatau → NON-CLONE
[10098/50000] 2026-06-26 23:57:46 | R2 | InfixConverter/0_orig vs square/test_1_artifice_no_procyon → NON-CLONE
[10099/50000] 2026-06-26 23:59:52 | R2 | InfixConverter/0_orig vs square/test_1_artifice_pg_krakatau → NON-CLONE
[10100/50000] 2026-06-27 00:01:23 | R2 | InfixConverter/0_orig vs square/test_1_artifice_pg_procyon → NON-CLONE
