Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (21438 already done, 28562 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (1438 done, 8562 remaining) ---
[21439/50000] 2026-06-23 05:53:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[21472/50000] 2026-06-23 05:54:16 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/1_artifice → NON-CLONE
[21473/50000] 2026-06-23 05:54:18 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[21474/50000] 2026-06-23 05:54:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[21475/50000] 2026-06-23 05:54:21 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[21476/50000] 2026-06-23 05:54:23 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[21477/50000] 2026-06-23 05:54:25 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[21478/50000] 2026-06-23 05:54:26 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[21479/50000] 2026-06-23 05:54:28 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[21480/50000] 2026-06-23 05:54:30 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[21481/50000] 2026-06-23 05:54:31 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[21482/50000] 2026-06-23 05:54:33 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[21483/50000] 2026-06-23 05:54:34 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[21484/50000] 2026-06-23 05:54:36 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[21485/50000] 2026-06-23 05:54:38 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[21486/50000] 2026-06-23 05:54:39 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[21487/50000] 2026-06-23 05:54:41 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[21488/50000] 2026-06-23 05:54:43 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[21489/50000] 2026-06-23 05:54:44 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[21490/50000] 2026-06-23 05:54:46 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[21491/50000] 2026-06-23 05:54:47 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/0_orig → NON-CLONE
[21492/50000] 2026-06-23 05:54:50 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/1_artifice → NON-CLONE
[21493/50000] 2026-06-23 05:54:54 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[21494/50000] 2026-06-23 05:54:57 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[21495/50000] 2026-06-23 05:55:00 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[21496/50000] 2026-06-23 05:55:05 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[21497/50000] 2026-06-23 05:55:08 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[21498/50000] 2026-06-23 05:55:11 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[21499/50000] 2026-06-23 05:55:14 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[21500/50000] 2026-06-23 05:55:17 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[21501/50000] 2026-06-23 05:55:20 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[21502/50000] 2026-06-23 05:55:24 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[21503/50000] 2026-06-23 05:55:28 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[21504/50000] 2026-06-23 05:55:31 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[21505/50000] 2026-06-23 05:55:35 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[21506/50000] 2026-06-23 05:55:38 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[21507/50000] 2026-06-23 05:55:41 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[21508/50000] 2026-06-23 05:55:44 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[21509/50000] 2026-06-23 05:55:48 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[21510/50000] 2026-06-23 05:55:51 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[21511/50000] 2026-06-23 05:55:55 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/0_orig → CLONE
[21512/50000] 2026-06-23 05:55:59 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/1_artifice → CLONE
[21513/50000] 2026-06-23 05:56:03 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → CLONE
[21514/50000] 2026-06-23 05:56:05 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → CLONE
[21515/50000] 2026-06-23 05:56:08 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → CLONE
[21516/50000] 2026-06-23 05:56:11 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → CLONE
[21517/50000] 2026-06-23 05:56:15 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → CLONE
[21518/50000] 2026-06-23 05:56:18 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → CLONE
[21519/50000] 2026-06-23 05:56:21 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → CLONE
[21520/50000] 2026-06-23 05:56:24 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → CLONE
[21521/50000] 2026-06-23 05:56:26 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/0_orig → NON-CLONE
[21522/50000] 2026-06-23 05:56:29 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[21523/50000] 2026-06-23 05:56:32 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[21524/50000] 2026-06-23 05:56:35 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[21525/50000] 2026-06-23 05:56:37 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[21526/50000] 2026-06-23 05:56:40 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[21527/50000] 2026-06-23 05:56:44 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[21528/50000] 2026-06-23 05:56:46 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[21529/50000] 2026-06-23 05:56:49 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[21530/50000] 2026-06-23 05:56:53 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[21531/50000] 2026-06-23 05:56:56 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/0_orig → NON-CLONE
[21532/50000] 2026-06-23 05:56:59 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/1_artifice → NON-CLONE
[21533/50000] 2026-06-23 05:57:02 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[21534/50000] 2026-06-23 05:57:05 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[21535/50000] 2026-06-23 05:57:08 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[21536/50000] 2026-06-23 05:57:12 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[21537/50000] 2026-06-23 05:57:16 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[21538/50000] 2026-06-23 05:57:19 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[21539/50000] 2026-06-23 05:57:23 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[21540/50000] 2026-06-23 05:57:25 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[21541/50000] 2026-06-23 05:57:27 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/0_orig → NON-CLONE
[21542/50000] 2026-06-23 05:57:31 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/1_artifice → NON-CLONE
[21543/50000] 2026-06-23 05:57:34 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[21544/50000] 2026-06-23 05:57:38 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[21545/50000] 2026-06-23 05:57:41 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[21546/50000] 2026-06-23 05:57:45 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[21547/50000] 2026-06-23 05:57:49 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[21548/50000] 2026-06-23 05:57:52 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[21549/50000] 2026-06-23 05:57:55 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[21550/50000] 2026-06-23 05:57:58 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[21551/50000] 2026-06-23 05:58:01 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/0_orig → NON-CLONE
[21552/50000] 2026-06-23 05:58:04 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[21553/50000] 2026-06-23 05:58:07 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[21554/50000] 2026-06-23 05:58:11 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[21555/50000] 2026-06-23 05:58:15 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[21556/50000] 2026-06-23 05:58:18 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[21557/50000] 2026-06-23 05:58:21 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[21558/50000] 2026-06-23 05:58:25 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[21559/50000] 2026-06-23 05:58:28 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[21560/50000] 2026-06-23 05:58:31 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[21561/50000] 2026-06-23 05:58:35 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/0_orig → NON-CLONE
[21562/50000] 2026-06-23 05:58:39 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/1_artifice → NON-CLONE
[21563/50000] 2026-06-23 05:58:41 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[21564/50000] 2026-06-23 05:58:44 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[21565/50000] 2026-06-23 05:58:47 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[21566/50000] 2026-06-23 05:58:50 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[21567/50000] 2026-06-23 05:58:53 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[21568/50000] 2026-06-23 05:58:56 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[21569/50000] 2026-06-23 05:58:59 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[21570/50000] 2026-06-23 05:59:02 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[21571/50000] 2026-06-23 05:59:06 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/0_orig → NON-CLONE
[21572/50000] 2026-06-23 05:59:10 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[21573/50000] 2026-06-23 05:59:13 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[21574/50000] 2026-06-23 05:59:17 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[21575/50000] 2026-06-23 05:59:20 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[21576/50000] 2026-06-23 05:59:23 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[21577/50000] 2026-06-23 05:59:27 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[21578/50000] 2026-06-23 05:59:31 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[21579/50000] 2026-06-23 05:59:35 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[21580/50000] 2026-06-23 05:59:39 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[21581/50000] 2026-06-23 05:59:42 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[21582/50000] 2026-06-23 05:59:45 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[21583/50000] 2026-06-23 05:59:48 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[21584/50000] 2026-06-23 05:59:52 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[21585/50000] 2026-06-23 05:59:55 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[21586/50000] 2026-06-23 05:59:58 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[21587/50000] 2026-06-23 06:00:00 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[21588/50000] 2026-06-23 06:00:03 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[21589/50000] 2026-06-23 06:00:07 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[21590/50000] 2026-06-23 06:00:10 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[21591/50000] 2026-06-23 06:00:13 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/0_orig → NON-CLONE
[21592/50000] 2026-06-23 06:00:16 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/1_artifice → NON-CLONE
[21593/50000] 2026-06-23 06:00:20 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[21594/50000] 2026-06-23 06:00:23 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[21595/50000] 2026-06-23 06:00:26 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[21596/50000] 2026-06-23 06:00:29 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[21597/50000] 2026-06-23 06:00:32 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[21598/50000] 2026-06-23 06:00:36 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[21599/50000] 2026-06-23 06:00:39 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[21600/50000] 2026-06-23 06:00:42 | R3 | SqrtAlgorithm/test_0_orig_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[21601/50000] 2026-06-23 06:00:47 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/0_orig → NON-CLONE
[21602/50000] 2026-06-23 06:00:50 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/1_artifice → NON-CLONE
[21603/50000] 2026-06-23 06:00:53 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[21604/50000] 2026-06-23 06:00:57 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[21605/50000] 2026-06-23 06:01:01 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[21606/50000] 2026-06-23 06:01:04 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[21607/50000] 2026-06-23 06:01:08 | R3 | SqrtAlgorithm/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
