Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32471/50000] 2026-06-28 16:29:09 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/0_orig → NON-CLONE
[32472/50000] 2026-06-28 16:29:10 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/1_artifice → NON-CLONE
[32473/50000] 2026-06-28 16:29:10 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[32474/50000] 2026-06-28 16:29:11 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[32475/50000] 2026-06-28 16:29:12 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[32476/50000] 2026-06-28 16:29:12 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[32477/50000] 2026-06-28 16:29:13 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[32478/50000] 2026-06-28 16:29:13 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[32479/50000] 2026-06-28 16:29:14 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[32480/50000] 2026-06-28 16:29:15 | R4 | bubblesort/test_0_orig_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[32481/50000] 2026-06-28 16:29:15 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[32482/50000] 2026-06-28 16:29:16 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[32483/50000] 2026-06-28 16:29:17 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[32484/50000] 2026-06-28 16:29:17 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[32485/50000] 2026-06-28 16:29:18 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[32486/50000] 2026-06-28 16:29:18 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[32487/50000] 2026-06-28 16:29:19 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[32488/50000] 2026-06-28 16:29:20 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[32489/50000] 2026-06-28 16:29:20 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[32490/50000] 2026-06-28 16:29:21 | R4 | bubblesort/test_0_orig_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[32491/50000] 2026-06-28 16:29:22 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/0_orig → NON-CLONE
[32492/50000] 2026-06-28 16:29:22 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/1_artifice → NON-CLONE
[32493/50000] 2026-06-28 16:29:23 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[32494/50000] 2026-06-28 16:29:24 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[32495/50000] 2026-06-28 16:29:25 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[32496/50000] 2026-06-28 16:29:25 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[32497/50000] 2026-06-28 16:29:26 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[32498/50000] 2026-06-28 16:29:27 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[32499/50000] 2026-06-28 16:29:27 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[32500/50000] 2026-06-28 16:29:28 | R4 | bubblesort/test_0_orig_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[32501/50000] 2026-06-28 16:29:29 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[32502/50000] 2026-06-28 16:29:29 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[32503/50000] 2026-06-28 16:29:30 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[32504/50000] 2026-06-28 16:29:31 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[32505/50000] 2026-06-28 16:29:31 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[32506/50000] 2026-06-28 16:29:32 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[32507/50000] 2026-06-28 16:29:33 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[32508/50000] 2026-06-28 16:29:33 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[32509/50000] 2026-06-28 16:29:34 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[32510/50000] 2026-06-28 16:29:34 | R4 | bubblesort/test_0_orig_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[32511/50000] 2026-06-28 16:29:35 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[32512/50000] 2026-06-28 16:29:36 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[32513/50000] 2026-06-28 16:29:36 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[32514/50000] 2026-06-28 16:29:37 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[32515/50000] 2026-06-28 16:29:38 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[32516/50000] 2026-06-28 16:29:38 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[32517/50000] 2026-06-28 16:29:39 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[32518/50000] 2026-06-28 16:29:40 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[32519/50000] 2026-06-28 16:29:40 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[32520/50000] 2026-06-28 16:29:41 | R4 | bubblesort/test_0_orig_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[32521/50000] 2026-06-28 16:29:42 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/0_orig → CLONE
[32522/50000] 2026-06-28 16:29:42 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/1_artifice → CLONE
[32523/50000] 2026-06-28 16:29:43 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_krakatau → CLONE
[32524/50000] 2026-06-28 16:29:43 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_0_orig_no_procyon → CLONE
[32525/50000] 2026-06-28 16:29:44 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → CLONE
[32526/50000] 2026-06-28 16:29:45 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_0_orig_pg_procyon → CLONE
[32527/50000] 2026-06-28 16:29:45 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → CLONE
[32528/50000] 2026-06-28 16:29:46 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_no_procyon → CLONE
[32529/50000] 2026-06-28 16:29:47 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → CLONE
[32530/50000] 2026-06-28 16:29:47 | R4 | bubblesort/test_0_orig_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → CLONE
[32531/50000] 2026-06-28 16:29:48 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/0_orig → NON-CLONE
[32532/50000] 2026-06-28 16:29:48 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/1_artifice → NON-CLONE
[32533/50000] 2026-06-28 16:29:49 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[32534/50000] 2026-06-28 16:29:50 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[32535/50000] 2026-06-28 16:29:51 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[32536/50000] 2026-06-28 16:29:51 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[32537/50000] 2026-06-28 16:29:52 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[32538/50000] 2026-06-28 16:29:53 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[32539/50000] 2026-06-28 16:29:53 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[32540/50000] 2026-06-28 16:29:54 | R4 | bubblesort/test_0_orig_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[32541/50000] 2026-06-28 16:29:55 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/0_orig → NON-CLONE
[32542/50000] 2026-06-28 16:29:55 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/1_artifice → NON-CLONE
[32543/50000] 2026-06-28 16:29:56 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[32544/50000] 2026-06-28 16:29:57 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[32545/50000] 2026-06-28 16:29:57 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[32546/50000] 2026-06-28 16:29:58 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[32547/50000] 2026-06-28 16:29:59 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[32548/50000] 2026-06-28 16:29:59 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[32549/50000] 2026-06-28 16:30:00 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[32550/50000] 2026-06-28 16:30:01 | R4 | bubblesort/test_0_orig_pg_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[32551/50000] 2026-06-28 16:30:01 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/0_orig → NON-CLONE
[32552/50000] 2026-06-28 16:30:02 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[32553/50000] 2026-06-28 16:30:03 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[32554/50000] 2026-06-28 16:30:03 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[32555/50000] 2026-06-28 16:30:04 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[32556/50000] 2026-06-28 16:30:04 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[32557/50000] 2026-06-28 16:30:05 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[32558/50000] 2026-06-28 16:30:06 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[32559/50000] 2026-06-28 16:30:06 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[32560/50000] 2026-06-28 16:30:07 | R4 | bubblesort/test_0_orig_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[32561/50000] 2026-06-28 16:30:08 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/0_orig → NON-CLONE
[32562/50000] 2026-06-28 16:30:08 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/1_artifice → NON-CLONE
[32563/50000] 2026-06-28 16:30:09 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[32564/50000] 2026-06-28 16:30:10 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[32565/50000] 2026-06-28 16:30:10 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[32566/50000] 2026-06-28 16:30:11 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[32567/50000] 2026-06-28 16:30:11 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[32568/50000] 2026-06-28 16:30:12 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[32569/50000] 2026-06-28 16:30:13 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[32570/50000] 2026-06-28 16:30:13 | R4 | bubblesort/test_0_orig_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[32571/50000] 2026-06-28 16:30:14 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/0_orig → NON-CLONE
[32572/50000] 2026-06-28 16:30:15 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[32573/50000] 2026-06-28 16:30:15 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[32574/50000] 2026-06-28 16:30:16 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[32575/50000] 2026-06-28 16:30:17 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[32576/50000] 2026-06-28 16:30:17 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[32577/50000] 2026-06-28 16:30:18 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[32578/50000] 2026-06-28 16:30:18 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[32579/50000] 2026-06-28 16:30:19 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[32580/50000] 2026-06-28 16:30:19 | R4 | bubblesort/test_0_orig_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[32581/50000] 2026-06-28 16:30:20 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[32582/50000] 2026-06-28 16:30:21 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[32583/50000] 2026-06-28 16:30:21 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[32584/50000] 2026-06-28 16:30:22 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[32585/50000] 2026-06-28 16:30:23 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[32586/50000] 2026-06-28 16:30:23 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[32587/50000] 2026-06-28 16:30:24 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[32588/50000] 2026-06-28 16:30:24 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[32589/50000] 2026-06-28 16:30:25 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[32590/50000] 2026-06-28 16:30:26 | R4 | bubblesort/test_0_orig_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[32591/50000] 2026-06-28 16:30:26 | R4 | bubblesort/test_0_orig_pg_procyon vs square/0_orig → NON-CLONE
[32592/50000] 2026-06-28 16:30:27 | R4 | bubblesort/test_0_orig_pg_procyon vs square/1_artifice → NON-CLONE
[32593/50000] 2026-06-28 16:30:28 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[32594/50000] 2026-06-28 16:30:28 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[32595/50000] 2026-06-28 16:30:29 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[32596/50000] 2026-06-28 16:30:30 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[32597/50000] 2026-06-28 16:30:30 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[32598/50000] 2026-06-28 16:30:31 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[32599/50000] 2026-06-28 16:30:32 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[32600/50000] 2026-06-28 16:30:32 | R4 | bubblesort/test_0_orig_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[32601/50000] 2026-06-28 16:30:33 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/0_orig → NON-CLONE
[32602/50000] 2026-06-28 16:30:34 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/1_artifice → NON-CLONE
[32603/50000] 2026-06-28 16:30:34 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[32604/50000] 2026-06-28 16:30:35 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[32605/50000] 2026-06-28 16:30:36 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[32606/50000] 2026-06-28 16:30:36 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[32607/50000] 2026-06-28 16:30:37 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[32608/50000] 2026-06-28 16:30:38 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[32609/50000] 2026-06-28 16:30:38 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[32610/50000] 2026-06-28 16:30:39 | R4 | bubblesort/test_1_artifice_no_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[32611/50000] 2026-06-28 16:30:40 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[32612/50000] 2026-06-28 16:30:40 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[32613/50000] 2026-06-28 16:30:41 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[32614/50000] 2026-06-28 16:30:42 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[32615/50000] 2026-06-28 16:30:42 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[32616/50000] 2026-06-28 16:30:43 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[32617/50000] 2026-06-28 16:30:44 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[32618/50000] 2026-06-28 16:30:44 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[32619/50000] 2026-06-28 16:30:45 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[32620/50000] 2026-06-28 16:30:46 | R4 | bubblesort/test_1_artifice_no_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[32621/50000] 2026-06-28 16:30:46 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/0_orig → CLONE
[32622/50000] 2026-06-28 16:30:47 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/1_artifice → CLONE
[32623/50000] 2026-06-28 16:30:47 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_no_krakatau → CLONE
[32624/50000] 2026-06-28 16:30:48 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_no_procyon → CLONE
[32625/50000] 2026-06-28 16:30:49 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_pg_krakatau → CLONE
[32626/50000] 2026-06-28 16:30:49 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_0_orig_pg_procyon → CLONE
[32627/50000] 2026-06-28 16:30:50 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_no_krakatau → CLONE
[32628/50000] 2026-06-28 16:30:50 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_no_procyon → CLONE
[32629/50000] 2026-06-28 16:30:51 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_pg_krakatau → CLONE
[32630/50000] 2026-06-28 16:30:52 | R4 | bubblesort/test_1_artifice_no_krakatau vs bubblesort/test_1_artifice_pg_procyon → CLONE
[32631/50000] 2026-06-28 16:30:52 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/0_orig → NON-CLONE
[32632/50000] 2026-06-28 16:30:53 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/1_artifice → NON-CLONE
[32633/50000] 2026-06-28 16:30:54 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[32634/50000] 2026-06-28 16:30:54 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[32635/50000] 2026-06-28 16:30:55 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[32636/50000] 2026-06-28 16:30:56 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[32637/50000] 2026-06-28 16:30:56 | R4 | bubblesort/test_1_artifice_no_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
