Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (16782 already done, 33218 remaining)
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:06<00:06,  6.66s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.25s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:09<00:00,  4.61s/it]
Model 'codellama' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5 (6782 done, 3218 remaining) ---
[16783/50000] 2026-06-30 04:14:28 | R2 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[16794/50000] 2026-06-30 04:14:45 | R2 | queens/test_1_artifice_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[16795/50000] 2026-06-30 04:14:46 | R2 | queens/test_1_artifice_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[16796/50000] 2026-06-30 04:14:48 | R2 | queens/test_1_artifice_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[16797/50000] 2026-06-30 04:14:49 | R2 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[16798/50000] 2026-06-30 04:14:51 | R2 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[16799/50000] 2026-06-30 04:14:52 | R2 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[16800/50000] 2026-06-30 04:14:54 | R2 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[16801/50000] 2026-06-30 04:14:55 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/0_orig → NON-CLONE
[16802/50000] 2026-06-30 04:14:56 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/1_artifice → NON-CLONE
[16803/50000] 2026-06-30 04:14:57 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[16804/50000] 2026-06-30 04:14:58 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[16805/50000] 2026-06-30 04:15:00 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[16806/50000] 2026-06-30 04:15:01 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[16807/50000] 2026-06-30 04:15:02 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[16808/50000] 2026-06-30 04:15:03 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[16809/50000] 2026-06-30 04:15:05 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[16810/50000] 2026-06-30 04:15:06 | R2 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[16811/50000] 2026-06-30 04:15:07 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[16812/50000] 2026-06-30 04:15:09 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[16813/50000] 2026-06-30 04:15:11 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[16814/50000] 2026-06-30 04:15:13 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[16815/50000] 2026-06-30 04:15:14 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[16816/50000] 2026-06-30 04:15:15 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[16817/50000] 2026-06-30 04:15:16 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[16818/50000] 2026-06-30 04:15:17 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[16819/50000] 2026-06-30 04:15:19 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[16820/50000] 2026-06-30 04:15:20 | R2 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[16821/50000] 2026-06-30 04:15:21 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/0_orig → NON-CLONE
[16822/50000] 2026-06-30 04:15:22 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/1_artifice → NON-CLONE
[16823/50000] 2026-06-30 04:15:23 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[16824/50000] 2026-06-30 04:15:24 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[16825/50000] 2026-06-30 04:15:25 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[16826/50000] 2026-06-30 04:15:26 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[16827/50000] 2026-06-30 04:15:27 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[16828/50000] 2026-06-30 04:15:28 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[16829/50000] 2026-06-30 04:15:29 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[16830/50000] 2026-06-30 04:15:30 | R2 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[16831/50000] 2026-06-30 04:15:31 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/0_orig → NON-CLONE
[16832/50000] 2026-06-30 04:15:32 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/1_artifice → NON-CLONE
[16833/50000] 2026-06-30 04:15:34 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[16834/50000] 2026-06-30 04:15:35 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[16835/50000] 2026-06-30 04:15:36 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[16836/50000] 2026-06-30 04:15:38 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[16837/50000] 2026-06-30 04:15:40 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[16838/50000] 2026-06-30 04:15:41 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[16839/50000] 2026-06-30 04:15:42 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[16840/50000] 2026-06-30 04:15:43 | R2 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[16841/50000] 2026-06-30 04:15:45 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/0_orig → NON-CLONE
[16842/50000] 2026-06-30 04:15:46 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[16843/50000] 2026-06-30 04:15:48 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[16844/50000] 2026-06-30 04:15:50 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[16845/50000] 2026-06-30 04:15:51 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[16846/50000] 2026-06-30 04:15:53 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[16847/50000] 2026-06-30 04:15:55 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[16848/50000] 2026-06-30 04:15:56 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[16849/50000] 2026-06-30 04:15:58 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[16850/50000] 2026-06-30 04:16:00 | R2 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[16851/50000] 2026-06-30 04:16:01 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[16852/50000] 2026-06-30 04:16:03 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[16853/50000] 2026-06-30 04:16:04 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[16854/50000] 2026-06-30 04:16:05 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[16855/50000] 2026-06-30 04:16:06 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[16856/50000] 2026-06-30 04:16:08 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[16857/50000] 2026-06-30 04:16:09 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[16858/50000] 2026-06-30 04:16:10 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[16859/50000] 2026-06-30 04:16:11 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[16860/50000] 2026-06-30 04:16:13 | R2 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[16861/50000] 2026-06-30 04:16:14 | R2 | queens/test_1_artifice_pg_krakatau vs queens/0_orig → CLONE
[16862/50000] 2026-06-30 04:16:16 | R2 | queens/test_1_artifice_pg_krakatau vs queens/1_artifice → CLONE
[16863/50000] 2026-06-30 04:16:17 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_krakatau → CLONE
[16864/50000] 2026-06-30 04:16:19 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_procyon → CLONE
[16865/50000] 2026-06-30 04:16:20 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_krakatau → CLONE
[16866/50000] 2026-06-30 04:16:21 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_procyon → CLONE
[16867/50000] 2026-06-30 04:16:23 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_krakatau → CLONE
[16868/50000] 2026-06-30 04:16:24 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_procyon → CLONE
[16869/50000] 2026-06-30 04:16:25 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_krakatau → CLONE
[16870/50000] 2026-06-30 04:16:27 | R2 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_procyon → CLONE
[16871/50000] 2026-06-30 04:16:28 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/0_orig → NON-CLONE
[16872/50000] 2026-06-30 04:16:29 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/1_artifice → NON-CLONE
[16873/50000] 2026-06-30 04:16:30 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[16874/50000] 2026-06-30 04:16:31 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[16875/50000] 2026-06-30 04:16:32 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[16876/50000] 2026-06-30 04:16:33 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[16877/50000] 2026-06-30 04:16:34 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[16878/50000] 2026-06-30 04:16:35 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[16879/50000] 2026-06-30 04:16:37 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[16880/50000] 2026-06-30 04:16:37 | R2 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[16881/50000] 2026-06-30 04:16:39 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[16882/50000] 2026-06-30 04:16:40 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[16883/50000] 2026-06-30 04:16:42 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[16884/50000] 2026-06-30 04:16:43 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[16885/50000] 2026-06-30 04:16:44 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[16886/50000] 2026-06-30 04:16:45 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[16887/50000] 2026-06-30 04:16:46 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[16888/50000] 2026-06-30 04:16:47 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[16889/50000] 2026-06-30 04:16:48 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[16890/50000] 2026-06-30 04:16:49 | R2 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[16891/50000] 2026-06-30 04:16:51 | R2 | queens/test_1_artifice_pg_krakatau vs square/0_orig → NON-CLONE
[16892/50000] 2026-06-30 04:16:52 | R2 | queens/test_1_artifice_pg_krakatau vs square/1_artifice → NON-CLONE
[16893/50000] 2026-06-30 04:16:54 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[16894/50000] 2026-06-30 04:16:55 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[16895/50000] 2026-06-30 04:16:57 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[16896/50000] 2026-06-30 04:16:58 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[16897/50000] 2026-06-30 04:17:00 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[16898/50000] 2026-06-30 04:17:02 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[16899/50000] 2026-06-30 04:17:04 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[16900/50000] 2026-06-30 04:17:05 | R2 | queens/test_1_artifice_pg_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[16901/50000] 2026-06-30 04:17:07 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/0_orig → NON-CLONE
[16902/50000] 2026-06-30 04:17:08 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/1_artifice → NON-CLONE
[16903/50000] 2026-06-30 04:17:10 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[16904/50000] 2026-06-30 04:17:11 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[16905/50000] 2026-06-30 04:17:13 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[16906/50000] 2026-06-30 04:17:15 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[16907/50000] 2026-06-30 04:17:16 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[16908/50000] 2026-06-30 04:17:17 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[16909/50000] 2026-06-30 04:17:18 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[16910/50000] 2026-06-30 04:17:20 | R2 | queens/test_1_artifice_pg_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[16911/50000] 2026-06-30 04:17:21 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[16912/50000] 2026-06-30 04:17:24 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[16913/50000] 2026-06-30 04:17:26 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[16914/50000] 2026-06-30 04:17:28 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[16915/50000] 2026-06-30 04:17:29 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[16916/50000] 2026-06-30 04:17:30 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[16917/50000] 2026-06-30 04:17:32 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[16918/50000] 2026-06-30 04:17:33 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[16919/50000] 2026-06-30 04:17:36 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[16920/50000] 2026-06-30 04:17:37 | R2 | queens/test_1_artifice_pg_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[16921/50000] 2026-06-30 04:17:38 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/0_orig → NON-CLONE
[16922/50000] 2026-06-30 04:17:39 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/1_artifice → NON-CLONE
[16923/50000] 2026-06-30 04:17:40 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[16924/50000] 2026-06-30 04:17:41 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[16925/50000] 2026-06-30 04:17:42 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[16926/50000] 2026-06-30 04:17:43 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[16927/50000] 2026-06-30 04:17:44 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[16928/50000] 2026-06-30 04:17:46 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[16929/50000] 2026-06-30 04:17:47 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[16930/50000] 2026-06-30 04:17:48 | R2 | queens/test_1_artifice_pg_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[16931/50000] 2026-06-30 04:17:49 | R2 | queens/test_1_artifice_pg_procyon vs guessword/0_orig → NON-CLONE
[16932/50000] 2026-06-30 04:17:50 | R2 | queens/test_1_artifice_pg_procyon vs guessword/1_artifice → NON-CLONE
[16933/50000] 2026-06-30 04:17:51 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[16934/50000] 2026-06-30 04:17:52 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[16935/50000] 2026-06-30 04:17:54 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[16936/50000] 2026-06-30 04:17:55 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[16937/50000] 2026-06-30 04:17:56 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[16938/50000] 2026-06-30 04:17:57 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[16939/50000] 2026-06-30 04:17:59 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[16940/50000] 2026-06-30 04:18:00 | R2 | queens/test_1_artifice_pg_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[16941/50000] 2026-06-30 04:18:01 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/0_orig → NON-CLONE
[16942/50000] 2026-06-30 04:18:03 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/1_artifice → NON-CLONE
[16943/50000] 2026-06-30 04:18:04 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[16944/50000] 2026-06-30 04:18:06 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[16945/50000] 2026-06-30 04:18:08 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[16946/50000] 2026-06-30 04:18:09 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[16947/50000] 2026-06-30 04:18:11 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[16948/50000] 2026-06-30 04:18:13 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[16949/50000] 2026-06-30 04:18:14 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[16950/50000] 2026-06-30 04:18:16 | R2 | queens/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[16951/50000] 2026-06-30 04:18:17 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/0_orig → NON-CLONE
[16952/50000] 2026-06-30 04:18:18 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/1_artifice → NON-CLONE
[16953/50000] 2026-06-30 04:18:19 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[16954/50000] 2026-06-30 04:18:21 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[16955/50000] 2026-06-30 04:18:22 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[16956/50000] 2026-06-30 04:18:24 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[16957/50000] 2026-06-30 04:18:25 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[16958/50000] 2026-06-30 04:18:26 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[16959/50000] 2026-06-30 04:18:28 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[16960/50000] 2026-06-30 04:18:29 | R2 | queens/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[16961/50000] 2026-06-30 04:18:31 | R2 | queens/test_1_artifice_pg_procyon vs queens/0_orig → CLONE
[16962/50000] 2026-06-30 04:18:32 | R2 | queens/test_1_artifice_pg_procyon vs queens/1_artifice → CLONE
[16963/50000] 2026-06-30 04:18:33 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_0_orig_no_krakatau → CLONE
[16964/50000] 2026-06-30 04:18:35 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_0_orig_no_procyon → CLONE
[16965/50000] 2026-06-30 04:18:36 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_krakatau → CLONE
[16966/50000] 2026-06-30 04:18:37 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_procyon → CLONE
[16967/50000] 2026-06-30 04:18:39 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_krakatau → CLONE
[16968/50000] 2026-06-30 04:18:41 | R2 | queens/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_procyon → CLONE
