Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (0 already done, 50000 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5 (0 done, 10000 remaining) ---
[1/50000] 2026-06-30 04:15:47 | R1 | InfixConverter/0_orig vs InfixConverter/0_orig → CLONE
[21/50000] 2026-06-30 04:16:04 | R1 | InfixConverter/0_orig vs bubblesort/0_orig → NON-CLONE
[22/50000] 2026-06-30 04:16:06 | R1 | InfixConverter/0_orig vs bubblesort/1_artifice → NON-CLONE
[23/50000] 2026-06-30 04:16:06 | R1 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[24/50000] 2026-06-30 04:16:07 | R1 | InfixConverter/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[25/50000] 2026-06-30 04:16:08 | R1 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[26/50000] 2026-06-30 04:16:09 | R1 | InfixConverter/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[27/50000] 2026-06-30 04:16:10 | R1 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[28/50000] 2026-06-30 04:16:11 | R1 | InfixConverter/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[29/50000] 2026-06-30 04:16:12 | R1 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[30/50000] 2026-06-30 04:16:12 | R1 | InfixConverter/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[31/50000] 2026-06-30 04:16:13 | R1 | InfixConverter/0_orig vs guessword/0_orig → NON-CLONE
[32/50000] 2026-06-30 04:16:15 | R1 | InfixConverter/0_orig vs guessword/1_artifice → NON-CLONE
[33/50000] 2026-06-30 04:16:16 | R1 | InfixConverter/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[34/50000] 2026-06-30 04:16:17 | R1 | InfixConverter/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[35/50000] 2026-06-30 04:16:18 | R1 | InfixConverter/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[36/50000] 2026-06-30 04:16:20 | R1 | InfixConverter/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[37/50000] 2026-06-30 04:16:21 | R1 | InfixConverter/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[38/50000] 2026-06-30 04:16:22 | R1 | InfixConverter/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[39/50000] 2026-06-30 04:16:23 | R1 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[40/50000] 2026-06-30 04:16:23 | R1 | InfixConverter/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[41/50000] 2026-06-30 04:16:24 | R1 | InfixConverter/0_orig vs hanoi/0_orig → NON-CLONE
[42/50000] 2026-06-30 04:16:26 | R1 | InfixConverter/0_orig vs hanoi/1_artifice → NON-CLONE
[43/50000] 2026-06-30 04:16:27 | R1 | InfixConverter/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[44/50000] 2026-06-30 04:16:28 | R1 | InfixConverter/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[45/50000] 2026-06-30 04:16:30 | R1 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[46/50000] 2026-06-30 04:16:31 | R1 | InfixConverter/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[47/50000] 2026-06-30 04:16:32 | R1 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[48/50000] 2026-06-30 04:16:33 | R1 | InfixConverter/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[49/50000] 2026-06-30 04:16:34 | R1 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[50/50000] 2026-06-30 04:16:35 | R1 | InfixConverter/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[51/50000] 2026-06-30 04:16:36 | R1 | InfixConverter/0_orig vs kaprekar/0_orig → NON-CLONE
[52/50000] 2026-06-30 04:16:37 | R1 | InfixConverter/0_orig vs kaprekar/1_artifice → NON-CLONE
[53/50000] 2026-06-30 04:16:39 | R1 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[54/50000] 2026-06-30 04:16:39 | R1 | InfixConverter/0_orig vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[55/50000] 2026-06-30 04:16:40 | R1 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[56/50000] 2026-06-30 04:16:41 | R1 | InfixConverter/0_orig vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[57/50000] 2026-06-30 04:16:42 | R1 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[58/50000] 2026-06-30 04:16:43 | R1 | InfixConverter/0_orig vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[59/50000] 2026-06-30 04:16:44 | R1 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[60/50000] 2026-06-30 04:16:45 | R1 | InfixConverter/0_orig vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[61/50000] 2026-06-30 04:16:46 | R1 | InfixConverter/0_orig vs queens/0_orig → NON-CLONE
[62/50000] 2026-06-30 04:16:46 | R1 | InfixConverter/0_orig vs queens/1_artifice → NON-CLONE
[63/50000] 2026-06-30 04:16:47 | R1 | InfixConverter/0_orig vs queens/test_0_orig_no_krakatau → NON-CLONE
[64/50000] 2026-06-30 04:16:48 | R1 | InfixConverter/0_orig vs queens/test_0_orig_no_procyon → NON-CLONE
[65/50000] 2026-06-30 04:16:49 | R1 | InfixConverter/0_orig vs queens/test_0_orig_pg_krakatau → NON-CLONE
[66/50000] 2026-06-30 04:16:50 | R1 | InfixConverter/0_orig vs queens/test_0_orig_pg_procyon → NON-CLONE
[67/50000] 2026-06-30 04:16:50 | R1 | InfixConverter/0_orig vs queens/test_1_artifice_no_krakatau → NON-CLONE
[68/50000] 2026-06-30 04:16:51 | R1 | InfixConverter/0_orig vs queens/test_1_artifice_no_procyon → NON-CLONE
[69/50000] 2026-06-30 04:16:52 | R1 | InfixConverter/0_orig vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[70/50000] 2026-06-30 04:16:53 | R1 | InfixConverter/0_orig vs queens/test_1_artifice_pg_procyon → NON-CLONE
[71/50000] 2026-06-30 04:16:54 | R1 | InfixConverter/0_orig vs railroadcar/0_orig → NON-CLONE
[72/50000] 2026-06-30 04:16:55 | R1 | InfixConverter/0_orig vs railroadcar/1_artifice → NON-CLONE
[73/50000] 2026-06-30 04:16:56 | R1 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[74/50000] 2026-06-30 04:16:57 | R1 | InfixConverter/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[75/50000] 2026-06-30 04:16:58 | R1 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[76/50000] 2026-06-30 04:16:59 | R1 | InfixConverter/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[77/50000] 2026-06-30 04:17:00 | R1 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[78/50000] 2026-06-30 04:17:01 | R1 | InfixConverter/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[79/50000] 2026-06-30 04:17:02 | R1 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[80/50000] 2026-06-30 04:17:03 | R1 | InfixConverter/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[81/50000] 2026-06-30 04:17:03 | R1 | InfixConverter/0_orig vs slinkedlist/0_orig → NON-CLONE
[82/50000] 2026-06-30 04:17:04 | R1 | InfixConverter/0_orig vs slinkedlist/1_artifice → NON-CLONE
[83/50000] 2026-06-30 04:17:05 | R1 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[84/50000] 2026-06-30 04:17:06 | R1 | InfixConverter/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[85/50000] 2026-06-30 04:17:07 | R1 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[86/50000] 2026-06-30 04:17:08 | R1 | InfixConverter/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[87/50000] 2026-06-30 04:17:09 | R1 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[88/50000] 2026-06-30 04:17:09 | R1 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[89/50000] 2026-06-30 04:17:10 | R1 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[90/50000] 2026-06-30 04:17:10 | R1 | InfixConverter/0_orig vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[91/50000] 2026-06-30 04:17:11 | R1 | InfixConverter/0_orig vs square/0_orig → NON-CLONE
[92/50000] 2026-06-30 04:17:12 | R1 | InfixConverter/0_orig vs square/1_artifice → NON-CLONE
[93/50000] 2026-06-30 04:17:14 | R1 | InfixConverter/0_orig vs square/test_0_orig_no_krakatau → NON-CLONE
[94/50000] 2026-06-30 04:17:15 | R1 | InfixConverter/0_orig vs square/test_0_orig_no_procyon → NON-CLONE
[95/50000] 2026-06-30 04:17:16 | R1 | InfixConverter/0_orig vs square/test_0_orig_pg_krakatau → NON-CLONE
[96/50000] 2026-06-30 04:17:17 | R1 | InfixConverter/0_orig vs square/test_0_orig_pg_procyon → NON-CLONE
[97/50000] 2026-06-30 04:17:18 | R1 | InfixConverter/0_orig vs square/test_1_artifice_no_krakatau → NON-CLONE
[98/50000] 2026-06-30 04:17:19 | R1 | InfixConverter/0_orig vs square/test_1_artifice_no_procyon → NON-CLONE
[99/50000] 2026-06-30 04:17:20 | R1 | InfixConverter/0_orig vs square/test_1_artifice_pg_krakatau → NON-CLONE
[100/50000] 2026-06-30 04:17:21 | R1 | InfixConverter/0_orig vs square/test_1_artifice_pg_procyon → NON-CLONE
[101/50000] 2026-06-30 04:17:22 | R1 | InfixConverter/1_artifice vs InfixConverter/0_orig → CLONE
[102/50000] 2026-06-30 04:17:23 | R1 | InfixConverter/1_artifice vs InfixConverter/1_artifice → CLONE
[103/50000] 2026-06-30 04:17:24 | R1 | InfixConverter/1_artifice vs InfixConverter/test_0_orig_no_krakatau → CLONE
[104/50000] 2026-06-30 04:17:25 | R1 | InfixConverter/1_artifice vs InfixConverter/test_0_orig_no_procyon → CLONE
[105/50000] 2026-06-30 04:17:26 | R1 | InfixConverter/1_artifice vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[106/50000] 2026-06-30 04:17:27 | R1 | InfixConverter/1_artifice vs InfixConverter/test_0_orig_pg_procyon → CLONE
[107/50000] 2026-06-30 04:17:28 | R1 | InfixConverter/1_artifice vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[108/50000] 2026-06-30 04:17:29 | R1 | InfixConverter/1_artifice vs InfixConverter/test_1_artifice_no_procyon → CLONE
[109/50000] 2026-06-30 04:17:30 | R1 | InfixConverter/1_artifice vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[110/50000] 2026-06-30 04:17:31 | R1 | InfixConverter/1_artifice vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[111/50000] 2026-06-30 04:17:32 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/0_orig → NON-CLONE
[112/50000] 2026-06-30 04:17:33 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/1_artifice → NON-CLONE
[113/50000] 2026-06-30 04:17:34 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[114/50000] 2026-06-30 04:17:35 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[115/50000] 2026-06-30 04:17:37 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[116/50000] 2026-06-30 04:17:38 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[117/50000] 2026-06-30 04:17:39 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[118/50000] 2026-06-30 04:17:40 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[119/50000] 2026-06-30 04:17:41 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[120/50000] 2026-06-30 04:17:42 | R1 | InfixConverter/1_artifice vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[121/50000] 2026-06-30 04:17:42 | R1 | InfixConverter/1_artifice vs bubblesort/0_orig → NON-CLONE
[122/50000] 2026-06-30 04:17:43 | R1 | InfixConverter/1_artifice vs bubblesort/1_artifice → NON-CLONE
[123/50000] 2026-06-30 04:17:44 | R1 | InfixConverter/1_artifice vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[124/50000] 2026-06-30 04:17:44 | R1 | InfixConverter/1_artifice vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[125/50000] 2026-06-30 04:17:45 | R1 | InfixConverter/1_artifice vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[126/50000] 2026-06-30 04:17:46 | R1 | InfixConverter/1_artifice vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[127/50000] 2026-06-30 04:17:47 | R1 | InfixConverter/1_artifice vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[128/50000] 2026-06-30 04:17:48 | R1 | InfixConverter/1_artifice vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[129/50000] 2026-06-30 04:17:49 | R1 | InfixConverter/1_artifice vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[130/50000] 2026-06-30 04:17:50 | R1 | InfixConverter/1_artifice vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[131/50000] 2026-06-30 04:17:50 | R1 | InfixConverter/1_artifice vs guessword/0_orig → NON-CLONE
[132/50000] 2026-06-30 04:17:51 | R1 | InfixConverter/1_artifice vs guessword/1_artifice → NON-CLONE
[133/50000] 2026-06-30 04:17:52 | R1 | InfixConverter/1_artifice vs guessword/test_0_orig_no_krakatau → NON-CLONE
[134/50000] 2026-06-30 04:17:53 | R1 | InfixConverter/1_artifice vs guessword/test_0_orig_no_procyon → NON-CLONE
[135/50000] 2026-06-30 04:17:54 | R1 | InfixConverter/1_artifice vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[136/50000] 2026-06-30 04:17:55 | R1 | InfixConverter/1_artifice vs guessword/test_0_orig_pg_procyon → NON-CLONE
[137/50000] 2026-06-30 04:17:55 | R1 | InfixConverter/1_artifice vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[138/50000] 2026-06-30 04:17:56 | R1 | InfixConverter/1_artifice vs guessword/test_1_artifice_no_procyon → NON-CLONE
[139/50000] 2026-06-30 04:17:57 | R1 | InfixConverter/1_artifice vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[140/50000] 2026-06-30 04:17:59 | R1 | InfixConverter/1_artifice vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[141/50000] 2026-06-30 04:18:00 | R1 | InfixConverter/1_artifice vs hanoi/0_orig → NON-CLONE
[142/50000] 2026-06-30 04:18:01 | R1 | InfixConverter/1_artifice vs hanoi/1_artifice → NON-CLONE
[143/50000] 2026-06-30 04:18:03 | R1 | InfixConverter/1_artifice vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[144/50000] 2026-06-30 04:18:04 | R1 | InfixConverter/1_artifice vs hanoi/test_0_orig_no_procyon → NON-CLONE
[145/50000] 2026-06-30 04:18:05 | R1 | InfixConverter/1_artifice vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[146/50000] 2026-06-30 04:18:06 | R1 | InfixConverter/1_artifice vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[147/50000] 2026-06-30 04:18:07 | R1 | InfixConverter/1_artifice vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[148/50000] 2026-06-30 04:18:08 | R1 | InfixConverter/1_artifice vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[149/50000] 2026-06-30 04:18:09 | R1 | InfixConverter/1_artifice vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[150/50000] 2026-06-30 04:18:11 | R1 | InfixConverter/1_artifice vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[151/50000] 2026-06-30 04:18:11 | R1 | InfixConverter/1_artifice vs kaprekar/0_orig → NON-CLONE
[152/50000] 2026-06-30 04:18:12 | R1 | InfixConverter/1_artifice vs kaprekar/1_artifice → NON-CLONE
[153/50000] 2026-06-30 04:18:13 | R1 | InfixConverter/1_artifice vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[154/50000] 2026-06-30 04:18:14 | R1 | InfixConverter/1_artifice vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[155/50000] 2026-06-30 04:18:15 | R1 | InfixConverter/1_artifice vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[156/50000] 2026-06-30 04:18:16 | R1 | InfixConverter/1_artifice vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[157/50000] 2026-06-30 04:18:18 | R1 | InfixConverter/1_artifice vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[158/50000] 2026-06-30 04:18:19 | R1 | InfixConverter/1_artifice vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[159/50000] 2026-06-30 04:18:20 | R1 | InfixConverter/1_artifice vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[160/50000] 2026-06-30 04:18:21 | R1 | InfixConverter/1_artifice vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[161/50000] 2026-06-30 04:18:22 | R1 | InfixConverter/1_artifice vs queens/0_orig → NON-CLONE
[162/50000] 2026-06-30 04:18:23 | R1 | InfixConverter/1_artifice vs queens/1_artifice → NON-CLONE
[163/50000] 2026-06-30 04:18:24 | R1 | InfixConverter/1_artifice vs queens/test_0_orig_no_krakatau → NON-CLONE
[164/50000] 2026-06-30 04:18:24 | R1 | InfixConverter/1_artifice vs queens/test_0_orig_no_procyon → NON-CLONE
[165/50000] 2026-06-30 04:18:25 | R1 | InfixConverter/1_artifice vs queens/test_0_orig_pg_krakatau → NON-CLONE
[166/50000] 2026-06-30 04:18:26 | R1 | InfixConverter/1_artifice vs queens/test_0_orig_pg_procyon → NON-CLONE
[167/50000] 2026-06-30 04:18:27 | R1 | InfixConverter/1_artifice vs queens/test_1_artifice_no_krakatau → NON-CLONE
[168/50000] 2026-06-30 04:18:28 | R1 | InfixConverter/1_artifice vs queens/test_1_artifice_no_procyon → NON-CLONE
[169/50000] 2026-06-30 04:18:29 | R1 | InfixConverter/1_artifice vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[170/50000] 2026-06-30 04:18:30 | R1 | InfixConverter/1_artifice vs queens/test_1_artifice_pg_procyon → NON-CLONE
[171/50000] 2026-06-30 04:18:30 | R1 | InfixConverter/1_artifice vs railroadcar/0_orig → NON-CLONE
[172/50000] 2026-06-30 04:18:31 | R1 | InfixConverter/1_artifice vs railroadcar/1_artifice → NON-CLONE
[173/50000] 2026-06-30 04:18:33 | R1 | InfixConverter/1_artifice vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[174/50000] 2026-06-30 04:18:34 | R1 | InfixConverter/1_artifice vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[175/50000] 2026-06-30 04:18:35 | R1 | InfixConverter/1_artifice vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[176/50000] 2026-06-30 04:18:36 | R1 | InfixConverter/1_artifice vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[177/50000] 2026-06-30 04:18:37 | R1 | InfixConverter/1_artifice vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[178/50000] 2026-06-30 04:18:38 | R1 | InfixConverter/1_artifice vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[179/50000] 2026-06-30 04:18:39 | R1 | InfixConverter/1_artifice vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[180/50000] 2026-06-30 04:18:40 | R1 | InfixConverter/1_artifice vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[181/50000] 2026-06-30 04:18:41 | R1 | InfixConverter/1_artifice vs slinkedlist/0_orig → NON-CLONE
[182/50000] 2026-06-30 04:18:42 | R1 | InfixConverter/1_artifice vs slinkedlist/1_artifice → NON-CLONE
[183/50000] 2026-06-30 04:18:43 | R1 | InfixConverter/1_artifice vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[184/50000] 2026-06-30 04:18:44 | R1 | InfixConverter/1_artifice vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[185/50000] 2026-06-30 04:18:45 | R1 | InfixConverter/1_artifice vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[186/50000] 2026-06-30 04:18:46 | R1 | InfixConverter/1_artifice vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[187/50000] 2026-06-30 04:18:46 | R1 | InfixConverter/1_artifice vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[188/50000] 2026-06-30 04:18:47 | R1 | InfixConverter/1_artifice vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[189/50000] 2026-06-30 04:18:48 | R1 | InfixConverter/1_artifice vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[190/50000] 2026-06-30 04:18:49 | R1 | InfixConverter/1_artifice vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[191/50000] 2026-06-30 04:18:50 | R1 | InfixConverter/1_artifice vs square/0_orig → NON-CLONE
[192/50000] 2026-06-30 04:18:51 | R1 | InfixConverter/1_artifice vs square/1_artifice → NON-CLONE
[193/50000] 2026-06-30 04:18:52 | R1 | InfixConverter/1_artifice vs square/test_0_orig_no_krakatau → NON-CLONE
[194/50000] 2026-06-30 04:18:53 | R1 | InfixConverter/1_artifice vs square/test_0_orig_no_procyon → NON-CLONE
[195/50000] 2026-06-30 04:18:54 | R1 | InfixConverter/1_artifice vs square/test_0_orig_pg_krakatau → NON-CLONE
[196/50000] 2026-06-30 04:18:56 | R1 | InfixConverter/1_artifice vs square/test_0_orig_pg_procyon → NON-CLONE
[197/50000] 2026-06-30 04:18:57 | R1 | InfixConverter/1_artifice vs square/test_1_artifice_no_krakatau → NON-CLONE
[198/50000] 2026-06-30 04:18:57 | R1 | InfixConverter/1_artifice vs square/test_1_artifice_no_procyon → NON-CLONE
[199/50000] 2026-06-30 04:18:59 | R1 | InfixConverter/1_artifice vs square/test_1_artifice_pg_krakatau → NON-CLONE
[200/50000] 2026-06-30 04:19:00 | R1 | InfixConverter/1_artifice vs square/test_1_artifice_pg_procyon → NON-CLONE
[201/50000] 2026-06-30 04:19:01 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/0_orig → CLONE
[202/50000] 2026-06-30 04:19:01 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/1_artifice → CLONE
[203/50000] 2026-06-30 04:19:02 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_krakatau → CLONE
[204/50000] 2026-06-30 04:19:03 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_no_procyon → CLONE
[205/50000] 2026-06-30 04:19:04 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[206/50000] 2026-06-30 04:19:05 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/test_0_orig_pg_procyon → CLONE
[207/50000] 2026-06-30 04:19:06 | R1 | InfixConverter/test_0_orig_no_krakatau vs InfixConverter/test_1_artifice_no_krakatau → CLONE
