file,rows_total,rows_evaluated,rows_excluded,TP,FP,FN,TN,accuracy,precision,recall,f1,mcc,run_time
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q2_K.gguf (majority vote, 5 rounds)",384,384,0,191,186,1,6,0.513,0.5066,0.9948,0.6714,0.0973,00:05:14
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q3_K_M.gguf (majority vote, 5 rounds)",384,378,6,192,177,0,9,0.5317,0.5203,1.0,0.6845,0.1587,00:05:48
"results_gguf_bartowski__Meta-Llama-3.1-8B-Instruct-GGUF_Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf (majority vote, 5 rounds)",384,382,2,191,166,0,25,0.5654,0.535,1.0,0.6971,0.2646,00:04:47
"results_higgs_llama3.1_8B_3bit (majority vote, 5 rounds)",384,379,5,192,174,0,13,0.5409,0.5246,1.0,0.6882,0.191,00:21:25
"results_higgs_llama3.1_8B_4bit (majority vote, 5 rounds)",384,379,5,190,161,2,26,0.5699,0.5413,0.9896,0.6998,0.2458,01:10:55
"results_llama3.1_8b_q4km_aizu_lora (majority vote, 5 rounds)",384,384,0,175,7,17,185,0.9375,0.9615,0.9115,0.9358,0.8762,00:03:05
"results_original_meta-llama__Meta-Llama-3.1-8B-Instruct (majority vote, 5 rounds)",384,375,9,190,144,2,39,0.6107,0.5689,0.9896,0.7224,0.3247,00:13:04
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-2Bit (majority vote, 5 rounds)",384,383,1,191,189,1,2,0.5039,0.5026,0.9948,0.6678,0.0298,00:36:02
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-3Bit (majority vote, 5 rounds)",384,379,5,192,162,0,25,0.5726,0.5424,1.0,0.7033,0.2693,00:32:09
"results_relaxml_Llama-3.1-8b-Instruct-QTIP-4Bit (majority vote, 5 rounds)",384,376,8,191,151,1,33,0.5957,0.5585,0.9948,0.7154,0.3035,00:34:42
"results_qwen2.5_coder_7B_original (majority vote, 5 rounds)",384,384,0,119,1,73,191,0.8073,0.9917,0.6198,0.7628,0.663,00:08:47
"results_qwen2.5_coder_7B_q2k (majority vote, 5 rounds)",384,383,1,159,6,33,185,0.8982,0.9636,0.8281,0.8908,0.8044,00:05:17
"results_qwen2.5_coder_7B_q3km (majority vote, 5 rounds)",384,384,0,129,1,63,191,0.8333,0.9923,0.6719,0.8012,0.7044,00:05:25
"results_qwen2.5_coder_7B_q4km (majority vote, 5 rounds)",384,384,0,136,1,56,191,0.8516,0.9927,0.7083,0.8267,0.7339,00:04:24
"results_qwen_q4km_aizuCL_lora (majority vote, 5 rounds)",384,384,0,186,10,6,182,0.9583,0.949,0.9688,0.9588,0.9169,00:02:55
"results_qwen_q4km_aizu_lora (majority vote, 5 rounds)",384,384,0,186,11,6,181,0.9557,0.9442,0.9688,0.9563,0.9118,00:02:55
"results_qwen3_coder_30B_a3b_fp8 (majority vote, 5 rounds)",384,384,0,128,1,64,191,0.8307,0.9922,0.6667,0.7975,0.7002,00:06:55
"results_qwen3_coder_30B_a3b_fp8_q4km_gguf (majority vote, 5 rounds)",384,384,0,135,1,57,191,0.849,0.9926,0.7031,0.8232,0.7296,00:05:35
"results_qwen36_Qwen__Qwen3.6-27B (majority vote, 5 rounds)",384,384,0,166,2,26,190,0.9271,0.9881,0.8646,0.9222,0.8609,01:15:54
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q2_K.gguf (majority vote, 5 rounds)",384,384,0,156,82,36,110,0.6927,0.6555,0.8125,0.7256,0.397,00:05:02
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q3_K_M.gguf (majority vote, 5 rounds)",384,384,0,145,39,47,153,0.776,0.788,0.7552,0.7713,0.5526,00:05:37
"results_gguf_bartowski__aya-expanse-8b-GGUF_aya-expanse-8b-Q4_K_M.gguf (majority vote, 5 rounds)",384,384,0,166,62,26,130,0.7708,0.7281,0.8646,0.7905,0.5514,00:04:26
"results_original_CohereLabs__aya-expanse-8b (majority vote, 5 rounds)",384,384,0,157,42,35,150,0.7995,0.7889,0.8177,0.8031,0.5994,00:18:55
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q2_k.gguf (majority vote, 5 rounds)",384,382,2,173,146,19,44,0.5681,0.5423,0.901,0.6771,0.1787,00:11:04
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q3_k_m.gguf (majority vote, 5 rounds)",384,379,5,189,151,3,36,0.5937,0.5559,0.9844,0.7105,0.2911,00:15:56
"results_gguf_cortexso__cogito-v1_cogito-v1-preview-llama-8b-q4_k_m.gguf (majority vote, 5 rounds)",384,383,1,184,53,8,138,0.8407,0.7764,0.9583,0.8578,0.7009,00:15:56
